accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-4.177869,-8.861220,-0.500698,0.046426,-0.138819,-0.084147
-4.339384,-2.117050,-8.168499,0.059865,-0.138972,-0.090866
-4.332206,-2.127219,-8.181659,0.051465,-0.140499,-0.085674
-4.362714,-2.094318,-8.194819,0.031765,-0.145080,-0.074220
-4.344768,-2.172683,-8.184052,0.031918,-0.146150,-0.074220
-4.305286,-2.243271,-8.263614,0.235336,-0.053298,0.314290
-4.392624,-2.028515,-8.136195,0.145691,-0.132252,-0.138056
-4.365107,-2.050051,-8.180463,0.045968,-0.143248,-0.083230
-3.396612,-1.869991,-7.149755,0.722348,0.234267,1.628872
-4.261617,-2.182853,-8.249854,0.053145,-0.140346,-0.086437
-4.346562,-2.088336,-8.426923,0.355982,-0.031460,0.307112
-4.403392,-2.150549,-8.178070,0.023366,-0.148898,0.009774
-4.241278,-1.956731,-8.283952,0.041233,-0.152869,-0.119271
-4.491328,-2.051846,-8.164311,0.046578,-0.244193,-0.048564
-4.264608,-2.014158,-8.236693,0.047495,-0.142179,-0.083230
-3.877569,-2.335993,-8.332406,0.006567,-0.157298,-0.220522
-4.271787,-1.977668,-8.188239,-0.016188,-0.155007,-0.046578
-4.363910,-1.550549,-8.287541,0.043982,-0.112857,0.003207
-4.610371,-1.758725,-8.064410,0.040928,-0.156687,-0.069028
-4.295715,-2.039881,-8.191230,-0.028253,-0.155771,-0.040470
-3.581457,-1.442274,-8.644670,0.132252,-0.178220,-0.046884
-4.727021,-2.150549,-8.096714,-0.073915,-0.217926,-0.013592
-4.310670,-1.582254,-8.307282,0.098044,-0.096211,-0.133932
-4.847858,-2.026123,-7.926225,0.010690,-0.136834,-0.064141
-4.889733,-1.933401,-7.895717,-0.033445,-0.127824,-0.041233
-4.287939,-2.249851,-8.224730,0.015882,-0.152411,-0.063377
-4.310072,-2.132005,-8.188837,0.040470,-0.145233,-0.080023
-4.288536,-2.161915,-8.191230,0.050244,-0.141263,-0.084605
-4.317250,-2.151147,-8.187043,0.051465,-0.141721,-0.084299
-4.300500,-2.160120,-8.189436,0.052229,-0.142179,-0.087354
-4.297509,-2.162513,-8.210971,0.053756,-0.139735,-0.087201
-4.296313,-2.153541,-8.171490,0.054672,-0.138666,-0.088575
-4.303492,-2.171487,-8.166704,0.042913,-0.140652,-0.083230
-4.314259,-2.078765,-8.169695,0.013897,-0.145386,-0.065821
-4.312464,-2.145764,-8.178668,0.052687,-0.139277,-0.087965
-4.309474,-2.129612,-8.175676,0.048717,-0.140041,-0.086285
-4.296313,-2.228316,-8.175079,0.035736,-0.144164,-0.077427
-4.290929,-2.123630,-8.172088,0.039095,-0.141415,-0.083078
-4.308876,-2.137389,-8.176275,0.043830,-0.140652,-0.083230
-4.338188,-2.129612,-8.159525,0.025045,-0.145233,-0.071013
