accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-4.226922,-3.580261,8.476574,0.044135,-0.145080,-0.089186
-4.173681,-3.617350,8.484351,0.046578,-0.144164,-0.086132
-4.213162,-3.562913,8.468199,0.049022,-0.139888,-0.085368
-4.218546,-3.573082,8.469396,0.047647,-0.142179,-0.083536
-4.218546,-3.548556,8.477771,0.049633,-0.142942,-0.086743
-4.216154,-3.567100,8.477771,0.048258,-0.142332,-0.084910
-4.210171,-3.574877,8.465807,0.049480,-0.139735,-0.085368
-4.188636,-3.562913,8.499905,0.049022,-0.139430,-0.083841
-4.196413,-3.623332,8.458628,0.049786,-0.141263,-0.085368
-4.226922,-3.595814,8.456833,0.051007,-0.138514,-0.082161
-4.231707,-3.668197,8.436494,0.049022,-0.140194,-0.084758
-4.235895,-3.658028,8.423933,0.050244,-0.140041,-0.083841
-4.223332,-3.652644,8.432905,0.048717,-0.141110,-0.084452
-4.226323,-3.642474,8.446664,0.049022,-0.140499,-0.083078
-4.331009,-3.635894,8.368897,0.046426,-0.143553,-0.085674
-4.348955,-3.597609,8.369495,0.055589,-0.134238,-0.079871
-4.242475,-3.716652,8.423334,0.058490,-0.129045,-0.074220
-4.322036,-3.619742,8.413763,0.044746,-0.146150,-0.089950
-4.334000,-3.646662,8.479566,0.043830,-0.143248,-0.088117
-4.419543,-3.473182,8.331210,0.057879,-0.132863,-0.076816
-4.323233,-3.589832,8.406584,0.047647,-0.141263,-0.085063
-4.301099,-3.552743,8.444270,0.048258,-0.140957,-0.084605
-4.278965,-3.564110,8.438289,0.047037,-0.142790,-0.085979
-4.372883,-3.340979,8.337791,0.057116,-0.135459,-0.079412
-4.280162,-3.538387,8.453843,0.050244,-0.140652,-0.083841
-4.229314,-3.528217,8.483154,0.048411,-0.140346,-0.082925
-4.180261,-3.532404,8.492128,0.047037,-0.140957,-0.085216
-4.259823,-3.559324,8.470592,0.048869,-0.140957,-0.085674
-4.206582,-3.584448,8.477173,0.048564,-0.141415,-0.084605
-4.250850,-3.516253,8.465208,0.051771,-0.142179,-0.085827
-4.268198,-3.544966,8.464012,0.049327,-0.139888,-0.085216
-4.224528,-3.559324,8.465208,0.048564,-0.140346,-0.085063
-4.245465,-3.536592,8.483154,0.050091,-0.142790,-0.084452
-4.255037,-3.553940,8.471789,0.048717,-0.142484,-0.083994
-4.296313,-3.537788,8.455637,0.048717,-0.142332,-0.083994
-4.237689,-3.533002,8.475378,0.048411,-0.142026,-0.084452
-4.242475,-3.537190,8.474779,0.050549,-0.141263,-0.083841
-4.234099,-3.545565,8.466404,0.049175,-0.141721,-0.084758
-4.246064,-3.555735,8.477173,0.048258,-0.140804,-0.085521
-4.247260,-3.544369,8.474779,0.049480,-0.140804,-0.083536
-4.257430,-3.559922,8.468199,0.050244,-0.139277,-0.084452
-4.246064,-3.544369,8.476574,0.048564,-0.142484,-0.086437
-4.247859,-3.542574,8.471190,0.048258,-0.140804,-0.084452
-4.233501,-3.541976,8.487342,0.049327,-0.141873,-0.085521
-4.234698,-3.541378,8.465208,0.047800,-0.141568,-0.084910
-4.266403,-3.534199,8.452645,0.048564,-0.142026,-0.084758
