accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-4.113860,-8.900702,-0.476172,0.049327,-0.141263,-0.085063
-4.146762,-8.860024,-0.495912,0.049022,-0.140194,-0.083841
-3.891328,-9.121439,-0.375075,0.182038,0.105527,-0.054520
-4.093522,-8.851649,-0.612563,0.195782,0.163865,-0.056200
-4.046861,-8.888738,-0.556929,0.047495,-0.139888,-0.085368
-4.092923,-8.841479,-0.896710,0.081551,-0.030238,-0.074678
-4.111467,-8.836096,-0.449851,0.051160,-0.136070,-0.082467
-4.089932,-8.872587,-0.634098,0.051618,-0.141873,-0.086743
-4.142574,-8.835498,-0.629312,0.047189,-0.139888,-0.084910
-4.128816,-8.833703,-0.617946,0.049938,-0.141721,-0.085216
-4.409374,-8.636893,-0.600000,-0.045662,-0.465021,-0.116828
-4.615755,-8.847462,-1.356730,0.618654,1.141707,0.032223
-4.110271,-8.913264,-0.954736,0.196546,0.186161,-0.052382
-4.132405,-8.775079,-0.648455,0.058338,-0.133627,-0.075289
-4.049254,-9.000004,-0.226720,-0.052534,-0.081856,-0.049175
-4.070789,-8.866605,-0.403789,0.306349,0.433409,-0.035736
-3.998407,-9.008379,-0.649053,0.176387,0.193797,-0.060628
-4.192824,-9.008978,-0.623330,0.420275,0.612392,-0.012523
-4.731807,-9.257831,-1.112662,0.436921,0.693943,-0.010385
-3.762115,-9.151351,0.025723,0.343764,0.390648,-0.031765
-4.076771,-8.859426,-0.463609,0.062919,-0.147066,-0.082467
-4.216752,-8.854641,-0.315853,0.199906,0.231365,-0.047647
-4.158726,-8.841479,-0.488734,0.048411,-0.141263,-0.083078
-4.168297,-8.841479,-0.500698,0.048411,-0.142484,-0.084147
-4.170690,-8.824132,-0.562912,0.048258,-0.141263,-0.084605
-4.185047,-8.828917,-0.548555,0.048106,-0.142179,-0.084758
-4.133601,-8.845068,-0.597009,0.049633,-0.141873,-0.084452
-4.145566,-8.842677,-0.600598,0.049022,-0.141873,-0.082925
-4.080361,-8.874979,-0.620938,0.048869,-0.140499,-0.084147
-4.072584,-8.870792,-0.613759,0.048869,-0.140957,-0.083841
-4.045067,-8.887542,-0.556929,0.049327,-0.142484,-0.083230
-4.507480,-8.656036,-0.345763,0.054978,-0.164934,-0.067653
-4.680361,-8.549556,-0.372084,0.051313,-0.145386,-0.083994
-4.351348,-8.667401,-1.219741,0.059254,-0.149662,-0.089186
-3.672983,-9.047263,-0.751945,0.056963,-0.162032,-0.102473
-3.903292,-8.970692,-0.269791,0.050396,-0.142637,-0.090103
-3.999005,-8.976675,-0.218345,0.045357,-0.168141,-0.054825
-4.782654,-8.533404,-0.215354,0.028253,-0.143248,-0.049938
-4.149154,-8.849854,-0.480359,0.050091,-0.140346,-0.085216
-4.119842,-8.813962,-0.455833,0.049480,-0.139583,-0.086285
-4.120440,-8.840283,-0.444467,0.051313,-0.140499,-0.087048
-4.152744,-8.849854,-0.476172,0.048258,-0.139277,-0.085063
-4.152744,-8.841479,-0.471984,0.049480,-0.139735,-0.085979
-4.141378,-8.869596,-0.483350,0.047342,-0.138514,-0.086743
-4.162315,-8.834302,-0.476770,0.048869,-0.138056,-0.086132
