accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.492525,3.412165,-7.633104,0.044593,-0.163712,-0.097586
4.466204,3.439084,-7.615158,0.050244,-0.147677,-0.087659
4.523632,3.535994,-7.545168,0.040775,-0.160505,-0.091630
4.523033,3.562315,-7.548159,0.071166,-0.121409,-0.086132
4.470391,3.475575,-7.634899,0.050549,-0.128740,-0.080481
4.403392,3.521637,-7.620542,0.048258,-0.140652,-0.085063
4.404588,3.513262,-7.615158,0.049327,-0.140652,-0.086132
4.484748,3.461816,-7.639685,0.050855,-0.171653,-0.098349
4.392624,3.520440,-7.619346,0.048258,-0.140346,-0.084758
4.420740,3.504887,-7.613962,0.049175,-0.140652,-0.086285
4.430311,3.585046,-7.591230,0.434783,0.138056,-0.612698
4.360919,3.415156,-7.697711,0.049175,-0.139583,-0.086132
4.363910,3.413960,-7.684550,0.048869,-0.139583,-0.085063
4.365107,3.391228,-7.695317,0.049786,-0.139125,-0.086285
4.361517,3.421138,-7.693523,0.049022,-0.139430,-0.085063
4.365705,3.390630,-7.693523,0.050702,-0.138514,-0.085979
4.366901,3.399004,-7.701300,0.049327,-0.139735,-0.085827
4.356732,3.399004,-7.699505,0.048869,-0.140194,-0.086285
4.363910,3.406183,-7.680363,0.048411,-0.141263,-0.085827
4.356732,3.399004,-7.713862,0.049327,-0.140041,-0.085979
4.332206,3.406183,-7.692327,0.050091,-0.140499,-0.086590
4.386044,3.418147,-7.661819,0.096975,-0.133016,-0.222966
4.430311,3.516253,-7.610373,0.047342,-0.139277,-0.086896
4.435097,3.522833,-7.632506,0.298255,0.083994,-0.459065
4.563113,3.388237,-7.591828,0.049633,-0.148898,-0.089492
4.460222,3.603591,-7.545168,0.051618,-0.139125,-0.086437
4.461418,3.442674,-7.648657,0.176540,-0.020159,-0.332922
4.378268,3.390630,-7.692327,0.049480,-0.138361,-0.085827
4.378866,3.392424,-7.697112,0.048717,-0.141110,-0.085216
4.326822,3.391826,-7.706684,0.048869,-0.144317,-0.088423
4.366901,3.395415,-7.706086,0.049480,-0.137597,-0.083841
4.379463,3.400799,-7.699505,0.047647,-0.140652,-0.085979
4.372883,3.394817,-7.682157,0.048717,-0.140194,-0.086132
4.380660,3.388835,-7.682756,0.048411,-0.139735,-0.086896
4.372883,3.390032,-7.703692,0.048411,-0.139888,-0.084758
4.374678,3.378666,-7.692925,0.048869,-0.138819,-0.085827
4.380062,3.395415,-7.700701,0.049175,-0.142484,-0.085063
4.375276,3.388835,-7.695916,0.048106,-0.139583,-0.085521
4.383651,3.357728,-7.689934,0.051007,-0.138056,-0.085063
4.384848,3.360121,-7.700103,0.049786,-0.139125,-0.087048
4.378866,3.375077,-7.682157,0.047953,-0.139888,-0.085674
4.381856,3.376273,-7.682756,0.049786,-0.140194,-0.084147
4.378268,3.381058,-7.691729,0.049022,-0.141110,-0.086743
4.390232,3.390630,-7.673184,0.050396,-0.141415,-0.085827
4.378866,3.391228,-7.686943,0.049022,-0.139125,-0.084910
4.389633,3.376871,-7.679166,0.048869,-0.139583,-0.085674
4.386642,3.382853,-7.693523,0.048564,-0.140194,-0.084299
4.411169,3.379862,-7.668997,0.047495,-0.140499,-0.085979
4.384848,3.395415,-7.692925,0.049327,-0.140652,-0.084910
4.379463,3.382255,-7.686345,0.048564,-0.139735,-0.084452
4.387838,3.388237,-7.689335,0.048411,-0.139125,-0.085827
4.387240,3.380460,-7.695916,0.049175,-0.138514,-0.084758
4.384250,3.357728,-7.695916,0.048717,-0.139277,-0.084910
4.345964,3.472584,-7.661220,0.049175,-0.138972,-0.085063
