accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-9.629316,-0.337986,0.243470,0.051007,-0.137139,-0.088881
-9.646665,-0.343370,0.239282,0.049786,-0.138361,-0.086437
-9.661021,-0.099302,-0.473181,1.773189,-0.096211,-0.107665
-9.647861,-0.261416,0.233300,0.050855,-0.138208,-0.087812
-9.648459,-0.257827,0.228515,0.049175,-0.138361,-0.087048
-9.649057,-0.292523,0.224925,0.051007,-0.139735,-0.087354
-9.649057,-0.362513,0.278764,0.049786,-0.138361,-0.087812
-9.642478,-0.330808,0.346361,0.050396,-0.138208,-0.086743
-9.661021,-0.303290,0.337388,0.050396,-0.140041,-0.086896
-9.659227,-0.344566,0.340977,0.049633,-0.137445,-0.088575
-9.642478,-0.323031,0.352941,0.050549,-0.138972,-0.086132
-9.645469,-0.342174,0.345165,0.049786,-0.137292,-0.088117
-9.648459,-0.320040,0.350549,0.048411,-0.137597,-0.087812
-9.653843,-0.314058,0.348754,0.050855,-0.137750,-0.085827
-9.640682,-0.315853,0.361316,0.049938,-0.138208,-0.087048
-9.650852,-0.325424,0.363709,0.050244,-0.138819,-0.085827
-9.650254,-0.224925,0.250050,0.049480,-0.139277,-0.087048
-9.612566,-0.276371,0.221934,0.051771,-0.138514,-0.088575
-9.646067,-0.209970,0.287139,0.049633,-0.140194,-0.087048
-9.628120,-0.209970,0.308076,0.049633,-0.140804,-0.086590
-9.652646,-0.239880,0.257228,0.050396,-0.137445,-0.087659
-9.654442,-0.232104,0.258425,0.049633,-0.137445,-0.086590
-9.652646,-0.223729,0.255434,0.049938,-0.137292,-0.086437
-9.635897,-0.351147,0.247657,0.049633,-0.138666,-0.087506
-9.647263,-0.350549,0.233300,0.049938,-0.137597,-0.088270
-9.778868,-0.336790,0.158524,1.005484,-0.112552,-0.095142
-9.635897,-0.212363,0.282951,0.049327,-0.139125,-0.087659
-9.658031,-0.218943,0.263210,0.048564,-0.139277,-0.086285
