accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.637889,-6.483353,-5.343771,0.049175,-0.139430,-0.085368
4.642076,-6.482157,-5.352147,0.048869,-0.140041,-0.086132
4.674977,-6.550352,-5.586044,-0.281151,0.293979,0.292299
4.532006,-6.571290,-5.291129,0.067806,-0.148593,-0.060781
4.561318,-6.552146,-5.370690,0.048258,-0.140194,-0.087354
4.519444,-6.506085,-5.434698,-0.042150,-0.014966,0.027184
4.566702,-6.421738,-5.452046,0.050549,-0.138056,-0.085063
4.761717,-6.582655,-5.512465,0.162337,-0.114843,-0.016646
5.688936,-5.953941,-4.981857,0.043371,-0.161879,-0.067042
5.618348,-5.963512,-4.999803,0.047189,-0.133016,-0.095906
4.054638,-6.644869,-5.592625,0.057879,-0.156992,-0.074373
4.095914,-6.586244,-5.642276,0.041233,-0.137292,-0.094990
4.786243,-6.193223,-5.664410,0.188605,-0.024282,-0.027184
4.639683,-6.506085,-5.327022,0.049633,-0.139735,-0.087201
4.644469,-6.480960,-5.366503,0.048106,-0.124769,-0.069486
4.625924,-6.501897,-5.335995,0.048869,-0.137445,-0.082467
4.619942,-6.503692,-5.342575,0.046884,-0.137903,-0.084605
4.594818,-6.538986,-5.315057,0.043677,-0.135459,-0.081551
4.521836,-6.513861,-5.419744,0.005498,-0.077885,-0.036652
4.558327,-6.553343,-5.345566,0.049480,-0.139125,-0.088423
4.543372,-6.552745,-5.346164,0.049175,-0.139125,-0.086743
4.613362,-6.302695,-5.292325,-0.136834,0.139735,0.163865
4.470989,-6.425327,-5.562116,-0.091935,0.040928,0.076511
4.606782,-6.495915,-5.356334,-0.016646,-0.041692,0.005192
4.964509,-6.324829,-5.253442,0.046731,-0.133779,-0.094684
4.999803,-6.294320,-5.267799,0.050702,-0.149815,-0.090255
4.949553,-6.323632,-5.270192,0.054062,-0.143095,-0.085827
4.840082,-6.815955,-4.771288,0.045662,-0.141110,-0.087354
5.215157,-6.145965,-5.016553,-0.409738,-0.011454,0.140499
4.653442,-6.490532,-5.344968,0.049786,-0.139277,-0.085368
4.632505,-6.486344,-5.340182,0.049633,-0.140804,-0.084452
4.545166,-6.567102,-5.324628,0.049480,-0.139125,-0.084910
4.547560,-6.573682,-5.309674,0.049175,-0.139277,-0.086285
4.554140,-6.577271,-5.316852,0.049022,-0.139430,-0.085368
4.551149,-6.573682,-5.323432,0.049633,-0.139277,-0.085521
4.544569,-6.571887,-5.322236,0.049327,-0.140194,-0.084910
