accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-4.493721,7.262216,-4.185047,0.056352,-0.137750,-0.088117
-4.504489,7.262815,-4.204189,0.049022,-0.140346,-0.084605
-4.601398,7.394420,-4.015156,0.309251,-0.581391,0.177456
-4.535595,7.262216,-4.227520,0.092393,-0.124006,-0.101251
-4.400999,7.475178,-3.920640,0.203113,-0.368963,0.043830
-4.500301,7.344769,-3.995416,0.207389,-0.465785,0.126602
-4.488935,7.346563,-4.117450,0.117133,-0.219911,-0.046578
-4.319643,7.214959,-4.479962,0.303295,-0.515112,0.150426
-4.752146,6.977471,-3.939782,0.266948,-0.519083,0.126755
-4.531408,7.363912,-3.919443,0.102625,-0.127518,-0.106291
-4.436294,7.365706,-3.984050,0.147677,-0.274278,-0.011454
-4.596612,7.143773,-4.234099,0.161574,-0.328645,0.015272
-4.462016,7.410572,-3.896114,0.066279,-0.202196,-0.040623
-4.610371,7.313663,-3.900301,0.153327,-0.096059,-0.105832
-4.514060,7.395019,-3.948158,0.045357,-0.213650,-0.023213
-4.460222,7.296315,-4.180860,0.067195,-0.164170,-0.070097
-4.383651,7.298707,-4.270590,0.145080,-0.289856,0.007330
-4.362116,7.374082,-4.085146,0.239154,-0.442419,0.113468
-4.530809,7.198807,-4.344170,0.075289,-0.128893,-0.092088
-5.038088,7.114460,-3.891926,0.052076,-0.127213,-0.075900
-5.046463,7.111469,-3.905087,0.049633,-0.139125,-0.080634
-4.253840,7.684550,-3.742973,0.040928,-0.138666,-0.072846
-4.124628,7.642077,-3.860819,0.065057,-0.153938,-0.077122
-3.902694,7.627122,-4.167699,0.049022,-0.137597,-0.083841
-3.969095,7.579864,-4.187439,0.054520,-0.148135,-0.097433
-5.139185,6.676573,-4.457231,0.053909,-0.135612,-0.072540
-4.980062,6.821339,-4.491328,0.033292,-0.104763,0.030085
-4.530211,7.355537,-3.961916,0.018021,-0.150120,-0.066432
-4.595416,7.057631,-4.448855,0.054367,-0.140499,-0.088423
-4.542774,7.278966,-4.136592,-0.093462,-0.099113,-0.109803
-4.529613,7.273583,-4.156931,0.051618,-0.141873,-0.085674
-4.546363,7.231709,-4.217948,0.048717,-0.140957,-0.083689
-4.374678,7.337591,-4.187439,0.068111,-0.129962,-0.091783
-4.440480,7.354939,-4.102495,0.049480,-0.138056,-0.085979
-4.427320,7.354939,-4.121039,0.028253,-0.149204,-0.080023
-4.392026,7.357332,-4.192225,0.045051,-0.139277,-0.081856
-4.434498,7.343573,-4.120440,0.054825,-0.135612,-0.087354
-4.441677,7.363314,-4.122235,0.047495,-0.140804,-0.085216
