accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.234099,8.657232,1.484747,0.045051,-0.137903,-0.084758
4.232305,8.660224,1.436292,0.048258,-0.138972,-0.085674
4.198806,8.662019,1.446461,0.048258,-0.139277,-0.085827
4.142574,8.689535,1.455434,0.048869,-0.139583,-0.085521
4.115655,8.708678,1.403391,0.049327,-0.139125,-0.085368
4.145566,8.710473,1.336990,0.049633,-0.139125,-0.085368
4.242475,8.654840,1.335793,0.049022,-0.139430,-0.084910
4.221537,8.654242,1.446461,0.048717,-0.138972,-0.085216
4.128816,8.703893,1.435095,0.048717,-0.138972,-0.085216
4.169494,8.690731,1.323231,0.048106,-0.139735,-0.085827
4.251448,8.656036,1.386641,0.048411,-0.138514,-0.085979
4.115057,8.706285,1.429113,0.048717,-0.140652,-0.085827
4.168297,8.694322,1.287937,0.048717,-0.138972,-0.085368
4.177270,8.690731,1.299901,0.049175,-0.138208,-0.084758
4.244868,8.648857,1.409373,0.048258,-0.138819,-0.085827
4.240082,8.644073,1.404587,0.048564,-0.138819,-0.084910
4.125226,8.712268,1.413560,0.047647,-0.140499,-0.085827
4.176074,8.690134,1.307678,0.047342,-0.138819,-0.083689
4.219743,8.657831,1.435095,0.048411,-0.140041,-0.086132
4.223332,8.651250,1.442872,0.049633,-0.140652,-0.084147
4.098905,8.718847,1.361516,0.048717,-0.140194,-0.085979
4.094120,8.725428,1.354338,0.048717,-0.139583,-0.085827
4.086343,8.710473,1.379462,0.048717,-0.138208,-0.085979
4.018745,8.729016,1.360918,0.055283,-0.142790,-0.088270
4.103093,8.718847,1.398007,0.052229,-0.140346,-0.087965
4.171886,8.705089,1.370489,0.049938,-0.140499,-0.082772
