accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-4.472186,6.332605,6.187242,0.047189,-0.142484,-0.084758
-4.469195,6.372685,6.125626,0.048869,-0.141263,-0.084452
-4.474578,6.367899,6.125626,0.049938,-0.141263,-0.083689
-4.480561,6.367301,6.123832,0.049633,-0.142026,-0.084758
-4.468596,6.360721,6.132805,0.049786,-0.141873,-0.084299
-4.375875,6.269794,6.293722,0.035888,-0.144164,-0.085521
-4.503891,6.284749,6.202196,0.170890,-0.314137,-0.242361
-4.529015,6.251249,6.187840,0.047953,-0.141568,-0.084605
-4.420142,6.069395,6.532406,0.160505,-0.291688,-0.223577
-4.213761,6.335596,6.367899,0.025198,-0.123547,-0.072998
-4.418945,6.383453,6.183054,0.058338,-0.151800,-0.097280
-4.673781,6.451050,5.864211,0.034667,-0.154854,-0.091324
-5.039285,6.114859,5.892924,0.048717,-0.093921,-0.095448
-4.393821,5.839086,6.708278,0.041386,-0.143553,-0.088728
-4.388436,6.451648,6.052645,0.182801,-0.324064,-0.252440
-4.512266,6.345766,6.138787,0.038637,-0.144011,-0.089186
-4.555336,6.278767,6.156733,0.143706,-0.266490,-0.197768
-4.432106,6.330811,6.195018,0.052993,-0.137750,-0.083078
-4.470989,6.262615,6.197411,0.354607,-0.560163,-0.465479
-4.413561,6.349953,6.190232,0.048869,-0.140652,-0.086590
-4.454239,6.396015,6.127420,0.147371,-0.253967,-0.189826
-4.438686,6.325426,6.215356,0.045204,-0.143401,-0.085827
-4.500301,6.352346,6.132805,0.049175,-0.140652,-0.084758
-4.547560,6.305088,6.148358,0.049786,-0.143401,-0.086132
-4.465007,6.393024,6.138787,0.114995,-0.228922,-0.165239
-4.456632,6.269794,6.251249,0.048411,-0.147219,-0.090255
-4.539783,6.456434,6.001199,0.052687,-0.142484,-0.085979
-4.539185,6.452246,5.997012,0.046578,-0.137445,-0.082314
-4.681558,6.175277,6.171688,0.052382,-0.144928,-0.074373
-4.526622,6.122036,6.312266,0.040317,-0.143248,-0.089034
-4.450650,6.309873,6.147161,0.054672,-0.134543,-0.083383
