accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.473980,-7.560123,4.767101,0.050855,-0.139430,-0.086285
4.493721,-7.554739,4.749155,0.049786,-0.139430,-0.085368
4.498507,-7.564311,4.750351,0.049022,-0.138819,-0.086590
4.441079,-7.456036,4.393223,-0.547488,0.795347,-0.630260
4.580461,-7.539186,4.715057,0.049633,-0.138056,-0.086437
4.619344,-7.494321,4.743771,0.049327,-0.138666,-0.086285
4.827520,-7.622934,4.134199,-0.042302,-0.183718,-0.009316
4.594818,-7.477571,4.801797,0.049480,-0.137750,-0.085216
4.539783,-7.630712,4.784449,-0.285732,0.393245,-0.394619
4.493721,-7.523034,4.808975,0.050549,-0.139583,-0.086285
4.482355,-7.721041,4.597808,-0.082009,0.118355,-0.226173
4.550550,-7.601997,4.623531,0.032681,-0.142179,-0.073457
4.627120,-7.434501,4.754539,-0.065821,0.099113,-0.242361
4.616951,-7.463812,4.786243,0.053298,-0.140041,-0.087506
4.600202,-7.452446,4.916054,0.057116,-0.133321,-0.086437
4.430909,-7.593024,4.748557,-0.059254,0.031307,-0.185856
4.487141,-7.539784,4.793422,-0.078038,0.050091,-0.187077
4.486543,-7.552945,4.758128,0.048258,-0.140499,-0.083689
4.475177,-7.547561,4.768896,-0.006261,-0.058338,-0.092088
4.287340,-7.669595,4.722834,-0.105222,0.143401,-0.202196
4.598407,-7.527820,4.689932,0.060476,-0.131641,-0.096975
4.317250,-7.670791,4.719843,0.082772,-0.190132,-0.063988
4.443472,-7.566105,4.874778,-0.273820,0.354455,-0.344070
4.576273,-7.451250,4.838886,0.003971,-0.064294,-0.130725
4.514060,-7.519445,4.819145,0.045815,-0.140499,-0.082620
4.496114,-7.564311,4.722834,0.043524,-0.139888,-0.082314
4.388436,-7.619346,4.748557,-0.098960,0.100335,-0.223271
4.704888,-7.460223,4.673182,0.032987,-0.062003,-0.148593
4.539783,-7.634899,4.606782,0.030696,-0.120799,-0.095906
