accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
9.777671,0.175872,0.512662,0.048869,-0.140346,-0.085979
9.771689,0.171087,0.516850,0.049327,-0.139125,-0.085521
9.760324,0.251246,0.533599,-0.529773,-0.142026,-0.078038
9.776476,-0.037687,0.580858,-0.473726,-0.151953,-0.074373
9.777073,0.086740,0.425324,0.043066,-0.137139,-0.084299
9.786046,0.075374,0.449252,0.049480,-0.137292,-0.085521
9.757333,-0.347557,-0.039482,0.034819,-0.057879,-0.298102
9.765707,-0.082552,0.369691,0.051160,-0.137139,-0.084910
9.796216,0.253639,0.212961,0.049175,-0.145844,-0.092699
9.772288,0.183051,0.521037,0.050855,-0.138819,-0.085979
9.767502,0.206381,0.298505,-0.618501,-0.143401,-0.081856
9.775877,0.178863,0.518644,0.047953,-0.136528,-0.085216
9.779467,0.102293,0.501895,0.049327,-0.140346,-0.085216
9.780663,0.096909,0.504287,0.050702,-0.138819,-0.086132
9.772288,0.107079,0.397209,0.049786,-0.138514,-0.085216
9.773483,0.107079,0.408574,0.050549,-0.138514,-0.086437
9.786645,0.100499,0.418744,0.049175,-0.138819,-0.085521
9.750751,0.029312,0.495912,-0.680962,-0.207236,-0.090408
9.832706,0.329611,0.412164,-0.683558,-0.161268,-0.080940
9.729217,-0.019143,0.438485,-1.049161,-0.170279,-0.078038
10.034302,-0.541376,1.271187,-2.380389,-0.217926,-0.071166
10.110274,-0.155533,1.514059,-0.007483,-0.144928,-0.058490
9.754342,-0.415155,0.629312,0.046731,-0.138056,-0.087506
9.744172,0.900299,0.060419,0.054978,-0.111636,-0.080176
9.600005,0.701695,2.016551,0.049175,-0.115606,-0.092852
9.671789,0.532403,1.439881,0.040623,-0.214261,-0.046273
9.693325,-1.067797,-0.487538,0.041386,-0.121104,-0.092852
9.781858,0.108873,0.495314,0.049175,-0.139125,-0.084147
